System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
Kepler-313c,KTEP,298.29496,48.77547,14.30,12.51,0.2713,0.02,2454982.10331,0.01367,32.273273,0.000819,5727,100,100,0.21,0.10,0.10,1.148,-1,-1,1.536,0.162,0.162,4.127,0.150,0.150,0.447,0.272,0.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.229,0.037,0.037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-314b,KTEP,294.67408,42.07558,12.72,10.77,0.0955,0.01,2454966.31441,0.00341,2.461069,0.000013,5378,100,100,0.26,0.10,0.10,0.950,-1,-1,0.950,0.135,0.135,4.465,0.150,0.150,1.564,0.434,0.434,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.074,0.011,0.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-314c,KTEP,294.67408,42.07558,12.72,10.77,0.1152,0.08,2454970.26485,0.00051,5.960392,0.000005,5378,100,100,0.26,0.10,0.10,0.950,-1,-1,0.950,0.135,0.135,4.465,0.150,0.150,1.564,0.434,0.434,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.259,0.038,0.038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-315b,KTEP,298.02308,43.36353,15.52,13.58,0.3483,0.11,2455020.73232,0.00518,96.101141,0.000918,5796,108,108,-0.25,0.10,0.10,0.914,-1,-1,1.037,0.202,0.202,4.377,0.150,0.150,1.157,0.526,0.526,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.336,0.070,0.070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-315c,KTEP,298.02308,43.36353,15.52,13.58,0.4243,0.10,2454984.06838,0.01006,265.469335,0.006223,5796,108,108,-0.25,0.10,0.10,0.914,-1,-1,1.037,0.202,0.202,4.377,0.150,0.150,1.157,0.526,0.526,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.370,0.086,0.086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-316b,KTEP,290.82600,44.18411,15.68,12.54,0.0579,0.04,2454970.82156,0.00164,2.240508,0.000006,4204,200,200,-0.48,0.50,0.50,0.544,-1,-1,0.520,0.052,0.052,4.743,0.300,0.300,5.463,0.958,0.958,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.095,0.010,0.010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-316c,KTEP,290.82600,44.18411,15.68,12.54,0.1008,0.05,2454971.61401,0.00268,6.827766,0.000034,4204,200,200,-0.48,0.50,0.50,0.544,-1,-1,0.520,0.052,0.052,4.743,0.300,0.300,5.463,0.958,0.958,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.103,0.011,0.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-317b,KTEP,294.94387,39.03206,15.61,13.66,0.1113,0.05,2454968.61931,0.00303,5.524242,0.000027,5497,200,200,0.26,0.50,0.50,1.002,-1,-1,0.941,0.429,0.429,4.493,0.300,0.300,1.696,0.559,0.559,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.186,0.086,0.086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-317c,KTEP,294.94387,39.03206,15.61,13.66,0.1190,0.03,2454966.70980,0.00707,8.775010,0.000113,5497,200,200,0.26,0.50,0.50,1.002,-1,-1,0.941,0.429,0.429,4.493,0.300,0.300,1.696,0.559,0.559,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.153,0.070,0.070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-318b,KTEP,298.48283,46.79361,13.47,11.76,0.1144,0.16,2454967.08179,0.00034,4.662715,0.000003,5746,100,100,0.19,0.10,0.10,1.072,-1,-1,1.189,0.210,0.210,4.325,0.150,0.150,0.900,0.404,0.404,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.420,0.074,0.074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-318c,KTEP,298.48283,46.79361,13.47,11.76,0.1065,0.10,2454966.08965,0.00091,11.815007,0.000020,5746,100,100,0.19,0.10,0.10,1.072,-1,-1,1.189,0.210,0.210,4.325,0.150,0.150,0.900,0.404,0.404,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.328,0.058,0.058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-319b,KTEP,288.81196,39.77067,14.00,12.20,0.0914,0.03,2454968.23073,0.00134,4.362705,0.000009,5526,100,100,-0.08,0.10,0.10,0.912,-1,-1,0.903,0.125,0.125,4.487,0.150,0.150,1.748,0.471,0.471,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.145,0.021,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-319c,KTEP,288.81196,39.77067,14.00,12.20,0.0746,0.09,2454970.54285,0.00061,6.941357,0.000007,5526,100,100,-0.08,0.10,0.10,0.912,-1,-1,0.903,0.125,0.125,4.487,0.150,0.150,1.748,0.471,0.471,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.235,0.033,0.033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-319d,KTEP,288.81196,39.77067,14.00,12.20,0.1610,0.06,2454967.86667,0.00205,31.781925,0.000105,5526,100,100,-0.08,0.10,0.10,0.912,-1,-1,0.903,0.125,0.125,4.487,0.150,0.150,1.748,0.471,0.471,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.204,0.031,0.031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-320b,KTEP,293.21354,46.17511,13.50,12.30,0.1683,0.09,2454970.67704,0.01257,8.371554,0.000162,6435,200,200,-0.24,0.50,0.50,1.174,-1,-1,1.108,0.519,0.519,4.419,0.300,0.300,1.218,0.333,0.333,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.102,0.048,0.048,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-320c,KTEP,293.21354,46.17511,13.50,12.30,0.2192,0.15,2454971.21820,0.00801,17.934937,0.000281,6435,200,200,-0.24,0.50,0.50,1.174,-1,-1,1.108,0.519,0.519,4.419,0.300,0.300,1.218,0.333,0.333,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.122,0.057,0.057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-321b,KTEP,294.45387,44.14597,12.89,11.24,0.1135,0.02,2454965.69543,0.00128,4.915379,0.000010,5740,100,100,0.06,0.10,0.10,1.027,-1,-1,1.194,0.230,0.230,4.302,0.150,0.150,0.851,0.437,0.437,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.158,0.030,0.030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-321c,KTEP,294.45387,44.14597,12.89,11.24,0.0892,0.04,2454977.52374,0.00109,13.093921,0.000024,5740,100,100,0.06,0.10,0.10,1.027,-1,-1,1.194,0.230,0.230,4.302,0.150,0.150,0.851,0.437,0.437,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.207,0.040,0.040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-322b,KTEP,281.34883,44.29525,13.73,11.83,0.0697,0.01,2454965.19171,0.00236,1.653888,0.000006,5388,100,100,0.06,0.10,0.10,0.916,-1,-1,0.890,0.096,0.096,4.501,0.150,0.150,1.833,0.412,0.412,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.090,0.010,0.010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-322c,KTEP,281.34883,44.29525,13.73,11.83,0.1023,0.04,2454965.84959,0.00123,4.337234,0.000009,5388,100,100,0.06,0.10,0.10,0.916,-1,-1,0.890,0.096,0.096,4.501,0.150,0.150,1.833,0.412,0.412,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.149,0.016,0.016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-324b,KTEP,286.47146,49.64903,14.31,12.29,0.1037,0.02,2454972.22656,0.00313,4.385315,0.000025,5194,100,100,0.08,0.10,0.10,0.873,-1,-1,0.840,0.072,0.072,4.530,0.150,0.150,2.078,0.389,0.389,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.102,0.010,0.010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-324c,KTEP,286.47146,49.64903,14.31,12.29,0.2745,0.11,2455016.00049,0.00291,51.805612,0.000314,5194,100,100,0.08,0.10,0.10,0.873,-1,-1,0.840,0.072,0.072,4.530,0.150,0.150,2.078,0.389,0.389,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.281,0.029,0.029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-325b,KTEP,289.83542,49.82564,15.20,13.35,0.0732,0.08,2454967.90010,0.00104,4.544439,0.000008,5752,200,200,-0.17,0.50,0.50,0.943,-1,-1,1.003,0.497,0.497,4.411,0.300,0.300,1.319,0.612,0.612,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.260,0.128,0.128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-325c,KTEP,289.83542,49.82564,15.20,13.35,0.0766,0.06,2454976.73016,0.00342,12.762172,0.000064,5752,200,200,-0.17,0.50,0.50,0.943,-1,-1,1.003,0.497,0.497,4.411,0.300,0.300,1.319,0.612,0.612,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.227,0.112,0.112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-325d,KTEP,289.83542,49.82564,15.20,13.35,0.1441,0.08,2454967.03090,0.00307,38.715185,0.000220,5752,200,200,-0.17,0.50,0.50,0.943,-1,-1,1.003,0.497,0.497,4.411,0.300,0.300,1.319,0.612,0.612,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.249,0.124,0.124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-326b,KTEP,294.32554,46.00225,13.93,11.67,0.0863,0.03,2454966.42421,0.00115,2.248329,0.000004,5105,100,100,0.05,0.10,0.10,0.846,-1,-1,0.801,0.052,0.052,4.556,0.150,0.150,2.322,0.366,0.366,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.136,0.014,0.014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-326c,KTEP,294.32554,46.00225,13.93,11.67,0.0892,0.03,2454967.07605,0.00134,4.580358,0.000010,5105,100,100,0.05,0.10,0.10,0.846,-1,-1,0.801,0.052,0.052,4.556,0.150,0.150,2.322,0.366,0.366,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.125,0.009,0.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-326d,KTEP,294.32554,46.00225,13.93,11.67,0.0680,0.02,2454969.61605,0.00219,6.766888,0.000023,5105,100,100,0.05,0.10,0.10,0.846,-1,-1,0.801,0.052,0.052,4.556,0.150,0.150,2.322,0.366,0.366,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.108,0.008,0.008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-327b,KTEP,292.64237,44.08767,15.63,11.95,0.0695,0.05,2454965.60488,0.00128,2.549575,0.000006,3799,100,100,-0.20,0.10,0.10,0.504,-1,-1,0.492,0.016,0.016,4.758,0.100,0.100,5.972,0.367,0.367,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.099,0.004,0.004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-327c,KTEP,292.64237,44.08767,15.63,11.95,0.0887,0.04,2454965.70664,0.00219,5.212333,0.000019,3799,100,100,-0.20,0.10,0.10,0.504,-1,-1,0.492,0.016,0.016,4.758,0.100,0.100,5.972,0.367,0.367,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.092,0.004,0.004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-327d,KTEP,292.64237,44.08767,15.63,11.95,0.0587,0.11,2454965.17104,0.00126,13.969457,0.000031,3799,100,100,-0.20,0.10,0.10,0.504,-1,-1,0.492,0.016,0.016,4.758,0.100,0.100,5.972,0.367,0.367,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.154,0.009,0.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-328b,KTEP,295.80929,40.00850,15.81,14.18,0.3620,0.05,2454990.59717,0.01416,34.921172,0.000785,6210,200,200,0.09,0.50,0.50,1.161,-1,-1,1.078,0.396,0.396,4.438,0.300,0.300,1.308,0.442,0.442,-1,-1,-1,-1,-1,-1,0.0,0.074,0.0,0.223,0.083,0.083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-328c,KTEP,295.80929,40.00850,15.81,14.18,0.3673,0.22,2454965.39258,0.00435,71.311250,0.000597,6210,200,200,0.09,0.50,0.50,1.161,-1,-1,1.078,0.396,0.396,4.438,0.300,0.300,1.308,0.442,0.442,-1,-1,-1,-1,-1,-1,0.0,2.75,0.0,0.451,0.166,0.166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-329b,KTEP,299.26804,45.22742,15.84,12.69,0.0903,0.05,2454968.85335,0.00402,7.416397,0.000046,4257,200,200,-0.57,0.50,0.50,0.546,-1,-1,0.523,0.052,0.052,4.740,0.300,0.300,5.389,0.934,0.934,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.125,0.022,0.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-329c,KTEP,299.26804,45.22742,15.84,12.69,0.1645,0.12,2454969.14841,0.00273,18.684737,0.000089,4257,200,200,-0.57,0.50,0.50,0.546,-1,-1,0.523,0.052,0.052,4.740,0.300,0.300,5.389,0.934,0.934,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.172,0.026,0.026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-330b,KTEP,288.44737,44.80169,15.51,13.25,0.1252,0.03,2454986.98309,0.00660,8.259780,0.000076,5117,200,200,-0.10,0.50,0.50,0.820,-1,-1,0.722,0.267,0.267,4.636,0.300,0.300,3.076,0.908,0.908,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.120,0.047,0.047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-330c,KTEP,288.44737,44.80169,15.51,13.25,0.1632,0.08,2454976.30371,0.00291,15.955387,0.000076,5117,200,200,-0.10,0.50,0.50,0.820,-1,-1,0.722,0.267,0.267,4.636,0.300,0.300,3.076,0.908,0.908,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.174,0.064,0.064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-331b,KTEP,291.83433,39.30736,16.24,13.34,0.0960,0.14,2454966.86954,0.00185,8.457496,0.000024,4347,200,200,-0.85,0.50,0.50,0.518,-1,-1,0.492,0.047,0.047,4.768,0.300,0.300,6.138,1.041,1.041,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.162,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-331c,KTEP,291.83433,39.30736,16.24,13.34,0.1155,0.15,2454969.00798,0.00216,17.281110,0.000064,4347,200,200,-0.85,0.50,0.50,0.518,-1,-1,0.492,0.047,0.047,4.768,0.300,0.300,6.138,1.041,1.041,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.164,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-331d,KTEP,291.83433,39.30736,16.24,13.34,0.1173,0.12,2454975.26823,0.00375,32.134328,0.000216,4347,200,200,-0.85,0.50,0.50,0.518,-1,-1,0.492,0.047,0.047,4.768,0.300,0.300,6.138,1.041,1.041,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.146,0.015,0.015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-332b,KTEP,286.66296,47.41369,14.26,11.97,0.0987,0.03,2454969.01672,0.00221,7.626324,0.000028,4955,100,100,-0.10,0.10,0.10,0.775,-1,-1,0.720,0.041,0.041,4.611,0.150,0.150,2.928,0.399,0.399,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.104,0.007,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-332c,KTEP,286.66296,47.41369,14.26,11.97,0.1408,0.02,2454977.23834,0.00423,15.995622,0.000108,4955,100,100,-0.10,0.10,0.10,0.775,-1,-1,0.720,0.041,0.041,4.611,0.150,0.150,2.928,0.399,0.399,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.097,0.007,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-332d,KTEP,286.66296,47.41369,14.26,11.97,0.1962,0.03,2454987.57732,0.00584,34.211540,0.000326,4955,100,100,-0.10,0.10,0.10,0.775,-1,-1,0.720,0.041,0.041,4.611,0.150,0.150,2.928,0.399,0.399,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.105,0.007,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-333b,KTEP,292.28608,40.91358,15.15,12.11,0.1340,0.05,2454970.26142,0.00226,12.551158,0.000044,4259,200,200,-0.47,0.50,0.50,0.560,-1,-1,0.534,0.054,0.054,4.732,0.300,0.300,5.187,1.002,1.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.118,0.014,0.014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-333c,KTEP,292.28608,40.91358,15.15,12.11,0.1663,0.04,2454967.42547,0.00501,24.088210,0.000207,4259,200,200,-0.47,0.50,0.50,0.560,-1,-1,0.534,0.054,0.054,4.732,0.300,0.300,5.187,1.002,1.002,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.099,0.018,0.018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-334b,KTEP,287.14067,47.11519,12.89,11.40,0.1267,0.01,2454964.49467,0.00211,5.470319,0.000021,5828,100,100,-0.08,0.10,0.10,0.991,-1,-1,1.068,0.194,0.194,4.385,0.150,0.150,1.148,0.456,0.456,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.100,0.019,0.019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-334c,KTEP,287.14067,47.11519,12.89,11.40,0.1703,0.02,2454966.95790,0.00256,12.758005,0.000055,5828,100,100,-0.08,0.10,0.10,0.991,-1,-1,1.068,0.194,0.194,4.385,0.150,0.150,1.148,0.456,0.456,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.128,0.023,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-334d,KTEP,287.14067,47.11519,12.89,11.40,0.1153,0.02,2454978.56945,0.00345,25.098490,0.000142,5828,100,100,-0.08,0.10,0.10,0.991,-1,-1,1.068,0.194,0.194,4.385,0.150,0.150,1.148,0.456,0.456,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.126,0.023,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-335b,KTEP,296.06433,45.42861,14.13,12.49,0.1681,0.03,2454965.60635,0.00278,6.562331,0.000031,5877,112,112,0.23,0.10,0.10,1.292,-1,-1,1.854,0.350,0.350,4.017,0.160,0.160,0.286,0.173,0.173,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.302,0.060,0.060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-335c,KTEP,296.06433,45.42861,14.13,12.49,0.5065,0.02,2454982.49928,0.01285,67.844469,0.001423,5877,112,112,0.23,0.10,0.10,1.292,-1,-1,1.854,0.350,0.350,4.017,0.160,0.160,0.286,0.173,0.173,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.274,0.059,0.059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-336b,KTEP,290.23762,41.33139,13.73,12.14,0.1151,0.01,2454965.35611,0.00475,2.024823,0.000017,5867,100,100,0.16,0.10,0.10,1.131,-1,-1,1.304,0.230,0.230,4.264,0.150,0.150,0.720,0.351,0.351,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.091,0.017,0.017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-336c,KTEP,290.23762,41.33139,13.73,12.14,0.1768,0.03,2454969.58177,0.00196,9.600001,0.000035,5867,100,100,0.16,0.10,0.10,1.131,-1,-1,1.304,0.230,0.230,4.264,0.150,0.150,0.720,0.351,0.351,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.187,0.033,0.033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-336d,KTEP,290.23762,41.33139,13.73,12.14,0.1881,0.03,2454984.69139,0.00286,20.678772,0.000102,5867,100,100,0.16,0.10,0.10,1.131,-1,-1,1.304,0.230,0.230,4.264,0.150,0.150,0.720,0.351,0.351,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.211,0.043,0.043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-337b,KTEP,290.06050,47.16397,12.87,11.18,0.1986,0.01,2454966.00966,0.00345,3.292781,0.000019,5684,175,175,0.02,0.10,0.10,1.119,-1,-1,1.761,0.485,0.485,4.004,0.250,0.250,0.289,0.362,0.362,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.137,0.038,0.038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-337c,KTEP,290.06050,47.16397,12.87,11.18,0.2295,0.01,2454965.81150,0.00291,9.693201,0.000047,5684,175,175,0.02,0.10,0.10,1.119,-1,-1,1.761,0.485,0.485,4.004,0.250,0.250,0.289,0.362,0.362,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.183,0.051,0.051,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-338b,KTEP,282.97896,40.78436,12.24,10.75,0.3037,0.02,2454971.74833,0.00247,13.726976,0.000059,5923,77,77,-0.07,0.10,0.10,1.144,-1,-1,1.735,0.082,0.082,4.017,0.073,0.073,0.309,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.218,0.012,0.012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-338c,KTEP,282.97896,40.78436,12.24,10.75,0.3675,0.02,2454970.04147,0.00397,24.310856,0.000158,5923,77,77,-0.07,0.10,0.10,1.144,-1,-1,1.735,0.082,0.082,4.017,0.073,0.073,0.309,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.209,0.011,0.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-338d,KTEP,282.97896,40.78436,12.24,10.75,0.4427,0.02,2454976.54198,0.00480,44.431014,0.000368,5923,77,77,-0.07,0.10,0.10,1.144,-1,-1,1.735,0.082,0.082,4.017,0.073,0.073,0.309,0.034,0.034,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.268,0.025,0.025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-339b,KTEP,293.35171,48.44464,14.70,12.87,0.1064,0.03,2454967.67151,0.00227,4.977656,0.000019,5631,200,200,-0.24,0.50,0.50,0.900,-1,-1,0.802,0.362,0.362,4.586,0.300,0.300,2.463,0.915,0.915,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.127,0.059,0.059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-339c,KTEP,293.35171,48.44464,14.70,12.87,0.1313,0.02,2454965.56110,0.00446,6.988055,0.000053,5631,200,200,-0.24,0.50,0.50,0.900,-1,-1,0.802,0.362,0.362,4.586,0.300,0.300,2.463,0.915,0.915,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.103,0.046,0.046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-339d,KTEP,293.35171,48.44464,14.70,12.87,0.1421,0.02,2454969.34663,0.00450,10.558345,0.000081,5631,200,200,-0.24,0.50,0.50,0.900,-1,-1,0.802,0.362,0.362,4.586,0.300,0.300,2.463,0.915,0.915,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.104,0.047,0.047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-340b,KTEP,295.93346,40.30058,12.35,11.58,0.2344,0.02,2454976.58289,0.01595,14.844387,0.000473,6620,376,376,-0.02,0.10,0.10,1.422,-1,-1,1.850,0.416,0.416,4.063,0.150,0.150,0.317,0.182,0.182,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.226,0.054,0.054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-340c,KTEP,295.93346,40.30058,12.35,11.58,0.2756,0.03,2454977.46616,0.00945,22.824669,0.000481,6620,376,376,-0.02,0.10,0.10,1.422,-1,-1,1.850,0.416,0.416,4.063,0.150,0.150,0.317,0.182,0.182,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.301,0.069,0.069,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-341b,KTEP,289.86158,43.47278,14.75,12.99,0.1590,0.01,2454965.73520,0.00557,5.195528,0.000053,6012,200,200,-0.14,0.50,0.50,1.042,-1,-1,1.024,0.519,0.519,4.437,0.300,0.300,1.369,0.455,0.455,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.105,0.055,0.055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-341c,KTEP,289.86158,43.47278,14.75,12.99,0.1757,0.03,2454968.31534,0.00366,8.010410,0.000049,6012,200,200,-0.14,0.50,0.50,1.042,-1,-1,1.024,0.519,0.519,4.437,0.300,0.300,1.369,0.455,0.455,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.152,0.077,0.077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
